fid,w46585_s10
"1",765.91498
"2",765.60089
"3",765.67792
"4",766.23743
"5",766.79712
"6",767.18903
"7",766.62628
"8",765.91302
"9",765.76123
"10",766.65253
"11",767.59003
"12",768.40167
"13",768.7663
"14",768.98578
"15",767.4104
"16",764.74109
"17",763.22668
"18",761.7674
"19",760.6012
"20",759.7215
"21",759.97919
"22",761.24542
"23",763.01459
"24",764.34271
"25",765.55103
"26",765.79907
"27",765.89471
"28",766.62311
"29",764.77661
"30",765.53113
"31",766.62268
"32",768.02728
"33",769.94531
"34",770.28662
"35",770.45508
"36",770.62347
"37",770.79199
"38",770.23248
"39",768.25342
"40",767.20538
"41",766.47717
"42",765.74908
"43",763.92938
"44",762.02332
"45",761.28717
"46",760.59711
"47",759.08807
"48",757.11029
"49",755.13239
"50",753.15472
"51",751.3244
"52",750.79993
"53",752.19299
"54",752.88391
"55",756.40668
"56",759.86572
"57",763.25671
"58",766.43011
"59",768.64532
"60",769.34149
"61",769.22223
"62",769.05908
"63",768.69983
"64",768.06787
"65",766.95471
"66",765.55933
"67",763.90588
"68",762.2395
"69",760.62439
"70",759.10748
"71",757.65839
"72",756.29132
"73",754.92407
"74",753.09302
"75",749.57098
"76",746.57648
"77",743.65698
"78",739.86688
"79",734.82361
"80",729.78021
"81",725.03339
"82",721.75922
"83",718.67889
"84",716.27942
"85",714.98712
"86",716.60931
"87",718.97522
"88",721.341
"89",723.53949
"90",724.13177
"91",724.5495
"92",724.96722
"93",724.91748
"94",723.63562
"95",722.08582
"96",719.81738
"97",717.36108
"98",714.95978
"99",713.21393
"100",711.63159
"101",710.04932
"102",708.46698
"103",706.88483
"104",705.30249
"105",703.72021
"106",702.03772
"107",700.30157
"108",698.6582
"109",696.95551
"110",695.18378
"111",693.40692
"112",691.57129
"113",689.67657
"114",687.74738
"115",685.81842
"116",683.88922
"117",681.96002
"118",680.03088
"119",678.10168
"120",676.17261
"121",674.40253
"122",672.70428
"123",670.94019
"124",669.13989
"125",667.33948
"126",665.53912
"127",663.73859
"128",661.93292
"129",660.12097
"130",658.30908
"131",656.49719
"132",654.68542
"133",770.59698
"134",770.28302
"135",770.00482
"136",770.29852
"137",770.73901
"138",770.26929
"139",769.55603
"140",768.85352
"141",769.23907
"142",770.13049
"143",771.05469
"144",771.67047
"145",772.03497
"146",772.3996
"147",771.2019
"148",769.45642
"149",767.99707
"150",766.53772
"151",765.19843
"152",764.41357
"153",764.78448
"154",765.53748
"155",767.2627
"156",769.08313
"157",770.54797
"158",770.78088
"159",770.48901
"160",770.46393
"161",768.14117
"162",768.76251
"163",769.85413
"164",770.94568
"165",772.40228
"166",772.89648
"167",773.06488
"168",773.2334
"169",773.40192
"170",773.11078
"171",771.95862
"172",771.23053
"173",770.50232
"174",769.77417
"175",768.10083
"176",767.00311
"177",766.33063
"178",765.65833
"179",764.78607
"180",762.93512
"181",760.95721
"182",758.97937
"183",756.90228
"184",755.69019
"185",756.80981
"186",754.96552
"187",757.41779
"188",761.02142
"189",764.61438
"190",768.12762
"191",771.40448
"192",772.67261
"193",772.53021
"194",772.38611
"195",772.05548
"196",770.98181
"197",769.43658
"198",767.91058
"199",766.42999
"200",765.06158
"201",763.69452
"202",762.32727
"203",760.96021
"204",759.59302
"205",758.22583
"206",756.41553
"207",752.65912
"208",749.07452
"209",746.12073
"210",742.30957
"211",737.26617
"212",732.22278
"213",727.17938
"214",723.25092
"215",720.27771
"216",718.47449
"217",717.53979
"218",719.51971
"219",721.79138
"220",723.9212
"221",726.13452
"222",727.42627
"223",727.75598
"224",728.08569
"225",727.84418
"226",726.77142
"227",724.90527
"228",722.47729
"229",720.02118
"230",717.78448
"231",716.17743
"232",714.59497
"233",713.01282
"234",711.43042
"235",709.71112
"236",707.84229
"237",705.77869
"238",703.7572
"239",702.08521
"240",700.45862
"241",698.70728
"242",696.79437
"243",694.82288
"244",692.84741
"245",690.87183
"246",688.8963
"247",686.90973
"248",684.88831
"249",682.86652
"250",680.84448
"251",678.82257
"252",676.8006
"253",674.81671
"254",672.99158
"255",671.18127
"256",669.37109
"257",667.56091
"258",665.75061
"259",663.94043
"260",662.13013
"261",660.31989
"262",658.49762
"263",656.66882
"264",654.82867
"265",775.46442
"266",775.11011
"267",774.75592
"268",774.44177
"269",773.91217
"270",773.19897
"271",772.48572
"272",771.99957
"273",772.71698
"274",773.6084
"275",774.54187
"276",775.11462
"277",775.56372
"278",775.99323
"279",775.42761
"280",774.16913
"281",772.76752
"282",771.30823
"283",769.87
"284",769.10577
"285",769.58978
"286",770.15259
"287",771.42102
"288",773.28003
"289",774.758
"290",775.29541
"291",775.19318
"292",773.90009
"293",771.47601
"294",772.08112
"295",773.17761
"296",774.28748
"297",775.42102
"298",775.88757
"299",776.12207
"300",776.39819
"301",776.67749
"302",776.78302
"303",776.08459
"304",775.31708
"305",774.55359
"306",773.79938
"307",772.73358
"308",772.04651
"309",771.37408
"310",770.70172
"311",770.0293
"312",768.75983
"313",766.7793
"314",764.69232
"315",762.50421
"316",760.98102
"317",761.38757
"318",758.57819
"319",758.34698
"320",761.95062
"321",765.5542
"322",769.15778
"323",772.9519
"324",775.65338
"325",775.66882
"326",775.5415
"327",775.18579
"328",773.83197
"329",772.4649
"330",771.09772
"331",769.73059
"332",768.3634
"333",766.99628
"334",765.62909
"335",764.26202
"336",762.89478
"337",761.52759
"338",759.73792
"339",756.0022
"340",752.04053
"341",748.58423
"342",744.7522
"343",739.70892
"344",734.66553
"345",729.62207
"346",724.90613
"347",722.19952
"348",720.67297
"349",719.94891
"350",721.82062
"351",723.78522
"352",725.95471
"353",728.41101
"354",730.33069
"355",730.71191
"356",731.04163
"357",730.651
"358",729.43451
"359",727.35211
"360",725.09802
"361",722.68109
"362",720.72308
"363",719.14081
"364",717.38452
"365",715.49719
"366",713.41522
"367",711.3136
"368",709.21191
"369",707.16193
"370",705.46698
"371",703.83429
"372",701.63129
"373",699.17712
"374",697.18231
"375",695.18738
"376",693.18848
"377",691.18011
"378",689.17157
"379",687.16052
"380",685.13922
"381",683.11719
"382",681.09528
"383",679.07343
"384",677.05139
"385",675.05432
"386",673.21613
"387",671.40588
"388",669.59558
"389",667.7854
"390",665.96167
"391",664.133
"392",662.2915
"393",660.44427
"394",658.59698
"395",656.74982
"396",654.90259
"397",781.22949
"398",780.83508
"399",780.31238
"400",779.24548
"401",778.10437
"402",776.90222
"403",775.80872
"404",775.54633
"405",776.66882
"406",777.9137
"407",779.07129
"408",779.6955
"409",780.22913
"410",779.91852
"411",778.89862
"412",777.89722
"413",776.83948
"414",775.74878
"415",774.50751
"416",773.82532
"417",774.3468
"418",774.86407
"419",775.51459
"420",776.32568
"421",777.05988
"422",777.84967
"423",778.57892
"424",776.55823
"425",774.78809
"426",775.90088
"427",777.11963
"428",778.35071
"429",779.50043
"430",780.09442
"431",780.44611
"432",780.7254
"433",781.00482
"434",781.15527
"435",780.49707
"436",779.698
"437",778.89893
"438",778.22211
"439",777.75043
"440",777.08087
"441",776.4115
"442",775.74078
"443",775.06989
"444",774.29132
"445",772.47882
"446",770.29077
"447",768.10272
"448",766.29883
"449",765.72198
"450",762.6969
"451",760.30261
"452",762.87982
"453",766.51941
"454",770.89398
"455",775.26959
"456",777.60663
"457",778.31409
"458",778.22449
"459",778.22778
"460",777.48779
"461",775.91052
"462",774.42297
"463",773.03229
"464",771.66522
"465",770.29797
"466",768.93091
"467",767.56372
"468",766.19647
"469",764.82941
"470",763.06018
"471",759.34528
"472",755.38361
"473",751.44849
"474",747.20813
"475",742.18732
"476",737.16638
"477",732.14563
"478",727.24548
"479",724.46777
"480",722.89032
"481",722.19122
"482",723.63428
"483",725.77478
"484",728.22162
"485",730.69043
"486",732.98132
"487",733.66779
"488",733.99738
"489",733.45789
"490",731.99188
"491",729.7644
"492",727.53693
"493",725.24548
"494",723.1521
"495",721.05157
"496",718.95001
"497",716.84839
"498",714.74683
"499",712.6452
"500",710.58221
"501",708.84857
"502",707.11157
"503",704.63843
"504",701.78882
"505",699.25732
"506",697.26257
"507",695.2677
"508",693.27289
"509",691.27808
"510",689.28333
"511",687.28851
"512",685.29358
"513",683.29883
"514",681.30212
"515",679.29529
"516",677.28693
"517",675.28912
"518",673.4259
"519",671.59698
"520",669.75427
"521",667.90698
"522",666.05988
"523",664.21259
"524",662.36542
"525",660.51819
"526",658.67102
"527",656.82379
"528",654.97662
"529",787.10852
"530",786.49158
"531",785.1673
"532",784.1535
"533",783.04211
"534",781.8399
"535",780.79688
"536",780.68158
"537",781.52588
"538",782.77081
"539",783.89209
"540",784.47992
"541",784.67462
"542",783.02362
"543",782.23602
"544",781.35468
"545",780.29712
"546",779.23938
"547",778.19208
"548",777.89551
"549",778.51947
"550",778.99109
"551",779.38812
"552",779.9115
"553",780.71692
"554",781.52252
"555",781.86798
"556",779.40668
"557",778.59662
"558",780.08917
"559",781.32031
"560",782.55139
"561",783.65527
"562",784.21649
"563",784.7085
"564",785.05267
"565",785.33197
"566",785.52759
"567",784.91449
"568",784.11542
"569",783.37988
"570",783.1543
"571",782.77197
"572",782.10248
"573",781.43298
"574",780.76349
"575",780.02222
"576",778.88287
"577",777.35498
"578",775.61853
"579",773.66333
"580",771.61658
"581",769.84082
"582",766.81567
"583",763.79053
"584",764.00317
"585",768.72052
"586",773.68903
"587",776.64783
"588",778.97272
"589",780.8183
"590",780.94781
"591",780.95508
"592",780.9137
"593",779.74329
"594",778.14941
"595",776.55542
"596",775.03271
"597",773.59979
"598",772.23273
"599",770.86548
"600",769.49841
"601",768.13123
"602",766.38269
"603",762.68842
"604",758.72668
"605",754.55878
"606",749.974
"607",745.03052
"608",740.0321
"609",735.03369
"610",730.98022
"611",728.05811
"612",725.36023
"613",724.92639
"614",725.85217
"615",728.03198
"616",730.50098
"617",732.96979
"618",735.43872
"619",736.6236
"620",736.95227
"621",736.25958
"622",734.4043
"623",732.17682
"624",730.03699
"625",727.90961
"626",724.56049
"627",722.38318
"628",720.28162
"629",718.18011
"630",716.07849
"631",714.00262
"632",712.23029
"633",710.31158
"634",707.60272
"635",704.75311
"636",701.90338
"637",699.33759
"638",697.34277
"639",695.34802
"640",693.35309
"641",691.35828
"642",689.36353
"643",687.36871
"644",685.3739
"645",683.37903
"646",681.38422
"647",679.4458
"648",677.55042
"649",675.71301
"650",673.83221
"651",671.92383
"652",670.01538
"653",668.10968
"654",666.22693
"655",664.34912
"656",662.47131
"657",660.59662
"658",658.74487
"659",656.89771
"660",655.05048
"661",792.62482
"662",791.19397
"663",789.9812
"664",789.05377
"665",787.97961
"666",786.8009
"667",786.36322
"668",786.34137
"669",786.5097
"670",787.62793
"671",788.71301
"672",789.1637
"673",787.98657
"674",786.05933
"675",785.55823
"676",784.81238
"677",783.75458
"678",782.6969
"679",781.74072
"680",781.58368
"681",782.54572
"682",783.01727
"683",783.38129
"684",783.64282
"685",784.38959
"686",785.19513
"687",785.1167
"688",782.54773
"689",782.24103
"690",784.16498
"691",785.521
"692",786.75208
"693",787.80823
"694",788.32538
"695",788.83313
"696",789.32257
"697",789.65918
"698",789.90002
"699",789.33191
"700",788.56561
