fid,Riproietta
"1",0.81333
"2",0.80247
"3",0.78748
"4",0.83848
"5",0.76572
"6",0.74739
"7",0.7553
"8",0.77311
"9",0.80851
"10",0.84972
"11",0.85363
"12",0.81586
"13",0.82437
"14",0.84642
"15",0.8398
"16",0.85123
"17",0.80479
"18",0.81509
"19",0.84222
"20",0.84739
"21",0.85439
"22",0.87416
"23",0.83129
"24",0.84408
"25",0.73027
"26",0.7513
"27",0.77697
"28",0.80929
"29",0.79395
"30",0.71732
"31",0.79459
"32",0.91588
"33",0.79944
"34",0.82623
"35",0.83537
"36",0.81833
"37",0.72722
"38",0.81332
"39",0.801
"40",0.71931
"41",0.81749
"42",0.81103
"43",0.80391
"44",0.84586
"45",0.88817
"46",0.84651
"47",0.83095
"48",0.81637
"49",0.82867
"50",0.8388
"51",0.83802
"52",0.77976
"53",0.80799
"54",0.74476
"55",0.74422
"56",0.78879
"57",0.8124
"58",0.76559
"59",0.73181
"60",0.72093
"61",0.75353
"62",0.73839
"63",0.77627
"64",0.74534
"65",0.73937
"66",0.69916
"67",0.75837
"68",0.50198
"69",0.71343
"70",0.68615
"71",0.78942
"72",0.81236
"73",0.82825
"74",0.84444
"75",0.81388
"76",0.78831
"77",0.79233
"78",0.78971
"79",0.76201
"80",0.77656
"81",0.7405
"82",0.68456
"83",0.71945
"84",0.74791
"85",0.76042
"86",0.76117
"87",0.74507
"88",0.78739
"89",0.74481
"90",0.78646
"91",0.76178
"92",0.74024
"93",0.73447
"94",0.81837
"95",0.71539
"96",0.66358
"97",0.67268
"98",0.76101
"99",0.75568
"100",0.75383
"101",0.72958
"102",0.73642
"103",0.70291
"104",0.74253
"105",0.77965
"106",0.72395
"107",0.65209
"108",0.70087
"109",0.68062
"110",0.75625
"111",0.7358
"112",0.74128
"113",0.75642
"114",0.74657
"115",0.75322
"116",0.75939
"117",0.78063
"118",0.74533
"119",0.78787
"120",0.77919
"121",0.77202
"122",0.78558
"123",0.79365
"124",0.81687
"125",0.80621
"126",0.74441
"127",0.7224
"128",0.6977
"129",0.71377
"130",0.75992
"131",0.73863
"132",0.63052
"133",0.78446
"134",0.75752
"135",0.77614
"136",0.87115
"137",0.82025
"138",0.79167
"139",0.80789
"140",0.8591
"141",0.83949
"142",0.80916
"143",0.82603
"144",0.79676
"145",0.803
"146",0.82113
"147",0.79077
"148",0.80043
"149",0.75166
"150",0.7974
"151",0.79865
"152",0.82216
"153",0.7796
"154",0.79291
"155",0.84034
"156",0.76961
"157",0.71745
"158",0.81637
"159",0.80603
"160",0.82961
"161",0.78132
"162",0.75021
"163",0.79976
"164",0.86324
"165",0.76575
"166",0.87392
"167",0.83747
"168",0.81508
"169",0.72722
"170",0.82267
"171",0.82007
"172",0.74217
"173",0.59018
"174",0.72039
"175",0.81737
"176",0.82962
"177",0.84082
"178",0.80792
"179",0.77524
"180",0.78263
"181",0.78697
"182",0.8135
"183",0.80838
"184",0.77666
"185",0.82019
"186",0.79485
"187",0.79463
"188",0.77228
"189",0.75301
"190",0.77621
"191",0.73776
"192",0.76541
"193",0.74638
"194",0.70965
"195",0.76224
"196",0.75315
"197",0.70596
"198",0.68937
"199",0.60982
"200",0.54949
"201",0.78797
"202",0.80297
"203",0.82081
"204",0.8193
